Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 ND7                 ND8                 ND9                 ND10                ND11                ND12                ND13                ND14                ND15                ND16                Egz                 
Vardas495           Pavarde495          2                   7                   1                   10                  5                   6                   7                   1                   9                   6                   8                   8                   8                   3                   3                   9                   5                   
Vardas496           Pavarde496          4                   7                   5                   4                   9                   4                   2                   8                   4                   10                  8                   6                   3                   10                  10                  9                   9                   
Vardas497           Pavarde497          5                   4                   2                   4                   3                   1                   9                   4                   3                   5                   2                   2                   7                   8                   2                   6                   5                   
Vardas498           Pavarde498          3                   4                   2                   8                   5                   4                   1                   10                  6                   2                   6                   5                   4                   2                   5                   5                   1                   
Vardas499           Pavarde499          1                   7                   10                  2                   9                   3                   9                   6                   4                   8                   2                   3                   6                   2                   5                   7                   8                   
Vardas500           Pavarde500          3                   5                   4                   4                   5                   1                   10                  3                   5                   4                   8                   9                   4                   5                   4                   6                   2                   
Vardas501           Pavarde501          2                   3                   10                  8                   2                   10                  4                   8                   3                   5                   2                   4                   5                   8                   3                   7                   8                   
Vardas502           Pavarde502          1                   3                   2                   2                   3                   4                   7                   4                   4                   4                   10                  3                   10                  1                   5                   2                   6                   
Vardas503           Pavarde503          8                   6                   9                   8                   3                   1                   5                   2                   4                   1                   5                   5                   7                   10                  9                   3                   7                   
Vardas504           Pavarde504          4                   9                   1                   8                   1                   5                   4                   10                  6                   3                   10                  8                   7                   5                   7                   8                   2                   
Vardas505           Pavarde505          10                  8                   8                   10                  1                   10                  1                   9                   7                   5                   5                   2                   10                  1                   9                   4                   4                   
Vardas506           Pavarde506          2                   3                   2                   1                   8                   5                   3                   2                   6                   4                   8                   9                   10                  8                   7                   3                   2                   
Vardas507           Pavarde507          8                   4                   3                   3                   5                   1                   2                   3                   6                   3                   3                   5                   1                   9                   3                   6                   6                   
Vardas508           Pavarde508          8                   1                   3                   7                   9                   10                  8                   9                   10                  7                   1                   2                   1                   2                   9                   4                   2                   
Vardas509           Pavarde509          3                   9                   8                   3                   9                   9                   6                   3                   8                   6                   1                   1                   7                   10                  6                   3                   9                   
Vardas510           Pavarde510          5                   8                   10                  8                   3                   1                   2                   3                   2                   3                   5                   6                   5                   1                   5                   5                   7                   
Vardas511           Pavarde511          5                   2                   6                   4                   10                  1                   8                   3                   6                   10                  10                  9                   4                   4                   6                   8                   10                  
Vardas512           Pavarde512          10                  10                  6                   2                   5                   9                   2                   6                   3                   6                   2                   7                   9                   7                   9                   10                  5                   
Vardas513           Pavarde513          3                   10                  1                   4                   4                   4                   9                   10                  3                   4                   3                   3                   1                   3                   4                   1                   1                   
Vardas514           Pavarde514          5                   7                   7                   9                   6                   8                   6                   1                   6                   6                   9                   5                   8                   1                   9                   7                   2                   
Vardas515           Pavarde515          7                   5                   4                   6                   6                   2                   10                  4                   7                   1                   10                  4                   6                   4                   5                   5                   2                   
Vardas516           Pavarde516          10                  8                   7                   5                   10                  4                   8                   2                   1                   4                   3                   6                   6                   5                   3                   1                   9                   
Vardas517           Pavarde517          1                   6                   3                   9                   5                   1                   6                   5                   3                   1                   2                   3                   1                   3                   9                   7                   9                   
Vardas518           Pavarde518          5                   2                   8                   10                  4                   8                   5                   2                   9                   9                   4                   7                   4                   8                   3                   7                   6                   
Vardas519           Pavarde519          6                   8                   4                   3                   1                   5                   6                   7                   7                   2                   3                   7                   6                   5                   3                   1                   9                   
Vardas520           Pavarde520          7                   5                   8                   10                  6                   3                   10                  2                   7                   5                   2                   7                   4                   10                  6                   10                  2                   
Vardas521           Pavarde521          4                   4                   1                   4                   10                  9                   5                   6                   1                   5                   7                   8                   3                   10                  10                  3                   5                   
Vardas522           Pavarde522          2                   2                   6                   10                  8                   3                   5                   9                   3                   1                   5                   8                   7                   5                   1                   8                   8                   
Vardas523           Pavarde523          7                   6                   4                   8                   4                   1                   3                   4                   10                  3                   1                   1                   8                   1                   6                   10                  9                   
Vardas524           Pavarde524          2                   10                  6                   7                   6                   6                   10                  3                   5                   4                   10                  7                   7                   8                   5                   9                   5                   
Vardas525           Pavarde525          3                   8                   7                   8                   2                   5                   4                   5                   7                   8                   5                   4                   3                   8                   2                   5                   3                   
Vardas526           Pavarde526          6                   8                   7                   8                   3                   10                  6                   4                   8                   4                   1                   3                   6                   8                   8                   5                   5                   
Vardas527           Pavarde527          2                   3                   8                   9                   7                   1                   5                   8                   5                   8                   3                   2                   9                   5                   10                  3                   2                   
Vardas528           Pavarde528          8                   10                  10                  10                  5                   7                   7                   10                  4                   10                  3                   10                  7                   9                   3                   7                   7                   
Vardas529           Pavarde529          3                   7                   5                   9                   8                   9                   8                   10                  8                   3                   4                   7                   9                   4                   7                   9                   7                   
Vardas530           Pavarde530          3                   4                   9                   6                   5                   8                   9                   8                   4                   5                   6                   8                   4                   6                   2                   6                   10                  
Vardas531           Pavarde531          10                  1                   10                  6                   3                   8                   10                  2                   5                   7                   7                   6                   1                   3                   9                   6                   10                  
Vardas532           Pavarde532          3                   10                  3                   8                   3                   1                   4                   7                   8                   2                   6                   7                   3                   3                   1                   5                   2                   
Vardas533           Pavarde533          8                   10                  5                   9                   6                   4                   5                   1                   3                   4                   2                   4                   10                  10                  3                   6                   4                   
Vardas534           Pavarde534          4                   10                  8                   1                   5                   3                   4                   10                  4                   7                   7                   2                   3                   5                   7                   8                   9                   
Vardas535           Pavarde535          4                   8                   6                   5                   9                   2                   4                   5                   9                   5                   3                   10                  7                   9                   4                   5                   4                   
Vardas536           Pavarde536          10                  3                   1                   3                   3                   4                   9                   10                  2                   4                   8                   8                   10                  7                   2                   7                   1                   
Vardas537           Pavarde537          8                   5                   8                   5                   4                   5                   10                  5                   10                  3                   6                   3                   10                  7                   2                   3                   9                   
Vardas538           Pavarde538          9                   8                   6                   1                   4                   7                   6                   3                   3                   6                   7                   3                   10                  2                   2                   9                   3                   
Vardas539           Pavarde539          10                  10                  5                   7                   8                   3                   9                   7                   10                  9                   7                   7                   10                  7                   7                   5                   7                   
Vardas540           Pavarde540          2                   9                   10                  2                   8                   4                   8                   7                   6                   3                   8                   3                   4                   1                   7                   2                   8                   
Vardas541           Pavarde541          8                   2                   10                  3                   1                   6                   10                  7                   6                   5                   2                   6                   5                   2                   2                   1                   5                   
Vardas542           Pavarde542          6                   5                   8                   9                   9                   3                   7                   10                  4                   8                   5                   6                   7                   7                   4                   5                   2                   
Vardas543           Pavarde543          6                   10                  10                  10                  4                   8                   5                   2                   4                   10                  9                   6                   3                   9                   5                   8                   6                   
Vardas544           Pavarde544          5                   7                   4                   5                   3                   6                   5                   4                   5                   1                   9                   5                   1                   4                   8                   7                   3                   
Vardas545           Pavarde545          9                   5                   7                   1                   8                   9                   7                   7                   1                   7                   6                   8                   10                  4                   6                   1                   7                   
Vardas546           Pavarde546          8                   2                   10                  1                   8                   2                   8                   3                   7                   6                   1                   3                   3                   2                   9                   7                   7                   
Vardas547           Pavarde547          2                   3                   10                  10                  9                   5                   7                   4                   9                   10                  9                   3                   7                   1                   10                  7                   6                   
Vardas548           Pavarde548          10                  6                   3                   6                   7                   10                  9                   5                   2                   7                   6                   1                   4                   1                   9                   1                   5                   
Vardas549           Pavarde549          8                   6                   4                   4                   3                   2                   10                  9                   10                  8                   9                   3                   4                   1                   7                   6                   9                   
Vardas550           Pavarde550          2                   5                   4                   3                   10                  7                   9                   8                   5                   3                   5                   9                   9                   2                   2                   8                   10                  
Vardas551           Pavarde551          3                   6                   9                   4                   2                   6                   8                   6                   1                   3                   1                   1                   2                   4                   3                   1                   7                   
Vardas552           Pavarde552          2                   7                   6                   5                   7                   1                   1                   1                   3                   10                  8                   8                   7                   3                   3                   2                   3                   
Vardas553           Pavarde553          5                   2                   5                   6                   9                   5                   5                   4                   9                   8                   7                   6                   1                   8                   2                   10                  2                   
Vardas554           Pavarde554          7                   8                   3                   3                   2                   7                   3                   2                   1                   5                   7                   1                   10                  7                   4                   3                   9                   
Vardas555           Pavarde555          7                   6                   7                   7                   1                   10                  5                   9                   4                   5                   1                   6                   1                   8                   3                   5                   4                   
Vardas556           Pavarde556          4                   4                   8                   9                   6                   6                   1                   6                   1                   1                   3                   10                  4                   10                  8                   9                   6                   
Vardas557           Pavarde557          1                   3                   2                   3                   1                   3                   3                   8                   1                   10                  9                   2                   1                   9                   6                   10                  3                   
Vardas558           Pavarde558          9                   2                   3                   5                   5                   5                   10                  7                   6                   5                   9                   1                   1                   5                   2                   10                  8                   
Vardas559           Pavarde559          8                   8                   1                   8                   10                  5                   6                   5                   6                   7                   10                  4                   9                   4                   9                   6                   2                   
Vardas560           Pavarde560          10                  4                   1                   1                   4                   6                   7                   2                   10                  8                   6                   1                   4                   8                   3                   2                   1                   
Vardas561           Pavarde561          10                  8                   9                   6                   8                   5                   7                   2                   1                   6                   6                   1                   3                   4                   7                   9                   9                   
Vardas562           Pavarde562          10                  8                   8                   3                   10                  7                   2                   1                   4                   2                   6                   10                  4                   9                   1                   6                   6                   
Vardas563           Pavarde563          6                   6                   1                   5                   2                   3                   7                   8                   5                   2                   2                   1                   7                   4                   3                   3                   5                   
Vardas564           Pavarde564          1                   3                   6                   7                   1                   9                   6                   2                   8                   10                  7                   3                   2                   8                   4                   1                   8                   
Vardas565           Pavarde565          2                   8                   8                   3                   1                   6                   9                   3                   6                   1                   3                   10                  9                   8                   8                   6                   2                   
Vardas566           Pavarde566          2                   4                   5                   3                   10                  6                   3                   5                   1                   10                  5                   3                   1                   5                   2                   1                   10                  
Vardas567           Pavarde567          6                   10                  10                  10                  8                   8                   3                   9                   5                   7                   7                   8                   10                  10                  8                   8                   8                   
Vardas568           Pavarde568          10                  8                   1                   7                   9                   3                   5                   3                   4                   7                   7                   6                   8                   4                   7                   8                   1                   
Vardas569           Pavarde569          5                   9                   4                   1                   8                   7                   5                   1                   2                   6                   9                   3                   1                   6                   2                   1                   9                   
Vardas570           Pavarde570          6                   7                   9                   6                   4                   1                   2                   10                  2                   4                   6                   7                   10                  10                  1                   1                   3                   
Vardas571           Pavarde571          8                   7                   6                   2                   9                   9                   10                  1                   8                   4                   6                   5                   6                   10                  2                   6                   3                   
Vardas572           Pavarde572          7                   5                   1                   7                   8                   5                   8                   8                   6                   9                   7                   3                   3                   7                   10                  2                   8                   
Vardas573           Pavarde573          6                   8                   4                   9                   2                   4                   9                   6                   8                   9                   4                   6                   7                   7                   5                   1                   3                   
Vardas574           Pavarde574          1                   7                   8                   7                   8                   10                  6                   4                   6                   7                   4                   4                   3                   10                  3                   10                  7                   
Vardas575           Pavarde575          7                   7                   7                   8                   8                   7                   4                   5                   8                   7                   3                   2                   6                   9                   6                   3                   8                   
Vardas576           Pavarde576          10                  9                   1                   6                   4                   3                   6                   3                   5                   5                   4                   4                   3                   7                   2                   6                   5                   
Vardas577           Pavarde577          10                  3                   9                   5                   4                   2                   2                   9                   9                   9                   8                   3                   5                   3                   10                  6                   7                   
Vardas578           Pavarde578          1                   9                   10                  4                   9                   3                   7                   6                   9                   5                   9                   5                   6                   1                   7                   5                   10                  
Vardas579           Pavarde579          1                   9                   1                   4                   1                   7                   10                  6                   5                   4                   9                   1                   5                   10                  9                   3                   10                  
Vardas580           Pavarde580          2                   6                   2                   5                   3                   5                   6                   7                   5                   10                  10                  9                   5                   4                   6                   3                   8                   
Vardas581           Pavarde581          8                   2                   7                   4                   9                   9                   6                   2                   7                   3                   6                   10                  2                   7                   10                  8                   4                   
Vardas582           Pavarde582          7                   3                   3                   9                   9                   5                   9                   2                   8                   2                   9                   7                   6                   8                   7                   3                   10                  
Vardas583           Pavarde583          4                   3                   5                   7                   6                   3                   8                   4                   1                   3                   4                   8                   2                   3                   8                   9                   2                   
Vardas584           Pavarde584          1                   10                  3                   2                   4                   10                  4                   8                   6                   2                   1                   7                   7                   10                  9                   5                   6                   
Vardas585           Pavarde585          1                   4                   8                   4                   2                   3                   1                   8                   6                   7                   2                   6                   8                   2                   8                   9                   10                  
Vardas586           Pavarde586          4                   8                   9                   2                   3                   4                   7                   1                   5                   1                   1                   9                   6                   9                   6                   2                   2                   
Vardas587           Pavarde587          9                   6                   1                   5                   9                   1                   2                   7                   3                   6                   9                   1                   6                   9                   4                   8                   2                   
Vardas588           Pavarde588          9                   9                   2                   10                  6                   5                   2                   2                   2                   4                   3                   10                  5                   10                  10                  7                   4                   
Vardas589           Pavarde589          6                   6                   6                   7                   9                   8                   10                  10                  7                   4                   7                   6                   9                   9                   3                   9                   8                   
Vardas590           Pavarde590          10                  6                   9                   4                   8                   9                   8                   3                   8                   8                   7                   9                   9                   7                   10                  9                   5                   
Vardas591           Pavarde591          10                  6                   5                   7                   7                   10                  7                   10                  4                   5                   5                   3                   5                   8                   6                   7                   9                   
Vardas592           Pavarde592          2                   4                   4                   6                   3                   3                   7                   7                   8                   9                   8                   4                   8                   2                   6                   1                   9                   
Vardas593           Pavarde593          2                   1                   5                   7                   7                   8                   1                   2                   6                   3                   10                  10                  1                   6                   10                  3                   1                   
Vardas594           Pavarde594          3                   3                   9                   5                   5                   9                   7                   3                   2                   4                   5                   2                   10                  5                   9                   1                   1                   
Vardas595           Pavarde595          3                   1                   10                  3                   10                  1                   2                   2                   1                   8                   2                   7                   10                  2                   4                   10                  4                   
Vardas596           Pavarde596          7                   8                   10                  9                   8                   9                   2                   10                  2                   1                   8                   8                   5                   9                   5                   8                   10                  
Vardas597           Pavarde597          2                   8                   4                   3                   2                   7                   5                   6                   6                   2                   4                   7                   6                   6                   10                  2                   5                   
Vardas598           Pavarde598          7                   4                   1                   9                   9                   3                   10                  8                   3                   9                   4                   9                   6                   4                   4                   7                   3                   
Vardas599           Pavarde599          3                   1                   9                   4                   8                   1                   5                   1                   1                   9                   7                   8                   4                   9                   7                   3                   8                   
Vardas600           Pavarde600          1                   2                   4                   3                   10                  9                   8                   4                   9                   2                   8                   1                   2                   7                   3                   4                   2                   
Vardas601           Pavarde601          5                   9                   10                  3                   4                   2                   6                   1                   8                   5                   3                   8                   7                   1                   10                  5                   8                   
Vardas602           Pavarde602          3                   7                   6                   1                   1                   10                  9                   5                   3                   2                   5                   2                   6                   7                   8                   6                   6                   
Vardas603           Pavarde603          7                   6                   1                   3                   7                   7                   6                   5                   6                   10                  6                   8                   8                   10                  1                   2                   1                   
Vardas604           Pavarde604          3                   8                   4                   4                   6                   6                   4                   9                   4                   3                   3                   6                   4                   9                   6                   2                   2                   
Vardas605           Pavarde605          1                   6                   5                   3                   5                   1                   1                   6                   6                   2                   8                   5                   5                   7                   6                   1                   3                   
Vardas606           Pavarde606          5                   10                  6                   7                   7                   10                  6                   1                   7                   5                   5                   9                   4                   3                   4                   9                   9                   
Vardas607           Pavarde607          10                  6                   5                   8                   8                   3                   2                   9                   1                   4                   4                   5                   8                   7                   8                   1                   6                   
Vardas608           Pavarde608          3                   9                   9                   4                   6                   1                   5                   6                   6                   8                   7                   3                   9                   1                   9                   9                   1                   
Vardas609           Pavarde609          5                   10                  6                   9                   2                   2                   1                   7                   10                  3                   9                   3                   6                   1                   10                  3                   6                   
Vardas610           Pavarde610          5                   8                   4                   1                   10                  8                   8                   10                  6                   6                   2                   6                   10                  7                   7                   9                   1                   
Vardas611           Pavarde611          6                   1                   10                  2                   3                   3                   10                  5                   7                   8                   6                   8                   1                   7                   9                   4                   8                   
Vardas612           Pavarde612          6                   10                  8                   9                   3                   7                   9                   5                   10                  6                   4                   8                   3                   1                   9                   1                   7                   
Vardas613           Pavarde613          5                   7                   2                   1                   7                   7                   9                   3                   2                   9                   8                   2                   7                   3                   8                   4                   2                   
